record_id,product_family_id,source,display_currency,cleaned_price,price_basis,participant_profile,price_recheck_date,comparison_service_window,rechecked_source_price,rechecked_source_currency,rechecked_price_basis,normalized_currency,normalized_price,fx_rate,fx_rate_date,fx_source,price_qa_status,price_analysis_eligible,recheck_provenance_url,exclusion_or_scope_note
APD02-035,PF-APD02-035,KLOOK,CNY,308,bundle,1_adult_standard,2026-08-23,2026-09-15_to_2026-09-21,,,,,,,,,PRICE_EXCLUDED_NONCOMPARABLE_OR_NONNUMERIC_BASIS,false,https://www.klook.com/activity/87343-amsterdam-canal-cruise-with-straat-museum-ticket/,Excluded: non-comparable or non-numeric basis.
APD02-036,PF-APD02-036,KLOOK,NOT_DISPLAYED,,bundle,1_adult_standard,2026-08-23,2026-09-15_to_2026-09-21,,,,,,,,,PRICE_EXCLUDED_NONCOMPARABLE_OR_NONNUMERIC_BASIS,false,https://www.klook.com/activity/212019-stedelijk-musuem-ticket-and-lovers-canal-cruise/,Excluded: non-comparable or non-numeric basis.
APD02-037,PF-APD02-037,KLOOK,NOT_DISPLAYED,,bundle,1_adult_standard,2026-08-23,2026-09-15_to_2026-09-21,,,,,,,,,PRICE_EXCLUDED_NONCOMPARABLE_OR_NONNUMERIC_BASIS,false,https://www.klook.com/en-AE/activity/2819-van-gogh-museum-amsterdam/,Excluded: non-comparable or non-numeric basis.
APD02-038,PF-APD02-038,KLOOK,NOT_DISPLAYED,,not_displayed,,2026-08-23,2026-09-15_to_2026-09-21,,,,,,,,,PRICE_EXCLUDED_NONCOMPARABLE_OR_NONNUMERIC_BASIS,false,https://www.klook.com/activity/17543-countryside-windmills-keukenhof-tour-amsterdam/,Excluded: non-comparable or non-numeric basis.
APD02-039,PF-APD02-039,KLOOK,NOT_DISPLAYED,,bundle,1_adult_standard,2026-08-23,2026-09-15_to_2026-09-21,,,,,,,,,PRICE_EXCLUDED_NONCOMPARABLE_OR_NONNUMERIC_BASIS,false,https://www.klook.com/en-US/activity/19861-canal-cruise-moco-museum-ticket-amsterdam/,Excluded: non-comparable or non-numeric basis.
APD02-040,PF-APD02-040,KLOOK,CNY,278,per_person,1_adult_standard,2026-08-23,2026-09-15_to_2026-09-21,,,,,,,,,PRICE_EXCLUDED_COMMON_SERVICE_WINDOW_NOT_VERIFIED,false,https://www.klook.com/activity/84942-amsterdam-countryside-windmills-tour-amsterdam/,Excluded: common service-window price not verified.
APD02-041,PF-LOVERS-CLASSIC-CANAL,TIQETS,GBP,10.39,per_person,1_adult_standard,2026-08-23,2026-09-15_to_2026-09-21,,,,,,,,,PRICE_EXCLUDED_COMMON_SERVICE_WINDOW_NOT_VERIFIED,false,https://www.tiqets.com/en/amsterdam-attractions-c75061/tickets-for-traditional-1-hour-canal-cruise-p1135497/,Excluded: common service-window price not verified.
APD02-042,PF-APD02-042,TIQETS,GBP,16.11,per_person,1_adult_standard,2026-08-23,2026-09-15_to_2026-09-21,,,,,,,,,PRICE_EXCLUDED_COMMON_SERVICE_WINDOW_NOT_VERIFIED,false,https://www.tiqets.com/en/amsterdam-attractions-c75061/tickets-for-luxury-cruise-with-onboard-bar-p1135499/,Excluded: common service-window price not verified.
APD02-043,PF-APD02-043,TIQETS,GBP,11.94,per_person,1_adult_standard,2026-08-23,2026-09-15_to_2026-09-21,,,,,,,,,PRICE_EXCLUDED_COMMON_SERVICE_WINDOW_NOT_VERIFIED,false,https://www.tiqets.com/en/amsterdam-attractions-c75061/tickets-for-traditional-evening-canal-cruise-p1135496/,Excluded: common service-window price not verified.
APD02-044,PF-APD02-044,TIQETS,GBP,26.93,per_person,1_adult_standard,2026-08-23,2026-09-15_to_2026-09-21,,,,,,,,,PRICE_EXCLUDED_COMMON_SERVICE_WINDOW_NOT_VERIFIED,false,https://www.tiqets.com/en/amsterdam-attractions-c75061/tickets-for-luxury-cruise-with-cheese-wine-p1135501/,Excluded: common service-window price not verified.
